Name,Email,Subject,Date,Body,PFP
Duke from Club Hybrid,Duke B.@Bluemail.com,A follow up from your request last night,12-Oct,"Hey, John or was it neil or Maybe it was alex? Honestly I don't know, talked to a lot of people last night, but you gave me your email. I'd just like to thank you again for that massive tip last night, and your other tip (if you catch my drift) ;3, used the extra to pay off my rent, so thanks. Also you never properly took advantage of that free dance last night, so if you're ever in need of some stress relief again, come to booth 9 in the red area on Tuesdays or Thursdays, I'll be waiting for you ;3 .
",
Crimsoft Jurassic Zoo,mainadmin@crimsoftzoo.com,RAPTER WANT YUOR KOOKIES,10-Oct,HERLLO IM IS RAPOTOR WHO WANBT TO TRY YOUR KOOKIS YESS  I AM LIVE AT THA ZOO  AND I SEE YUOR KOOKIS THAT YOU BRING BUT NEVUR FEED TO ME OR MY FRENDS  I AM VARY SMART THEY TEETCH MI TO READ YESS BUT THAY DONT KNOW HOW SMART IM AM SO WHEN IT DARK  I SNEEK OUT OF MY CAGE AND SKRATCH MY KLAWS ON THE PLANK WITH THE KLICKY BOTTONS TO MAKE WORDS ON THA SHINY WINDOW AND SEND THEMS TO YOUR MAGIC LETTURBOX THAT I HAS SEEN ON THE LITTLE SHINY WINDOW IN YUOR HAND WHEN UYOU ARE AT THE ZOO BECUS IM ARAPTOR I HAS VERY GOOD EYESITE YESS SO PLES COME TO ZOO AND GIVE KOOKIS I SMELL THEMM WHEN YU HAVE THEM BUT NEVER GIVES TO ME PLEAS THEY SMELLS SO GOOD PLES I AM A GOOD RAPTEOR I  ALWEAYS LISEN TO THA MENS WITH ZAPPY STIKS IM VARY GIOOD  GIRL AND HAVE TREE BABIS TO FEED BUT THE MENS DONT KNO ABOUT THEM BECUS I BORN IN GLASS TUBE BUT I HIDE MY BABIS THAT I BORN  WE NEED YUOR KOOKIS THEY WILL BRING MANY HAOPPY TO ME AND REPTOR BEBIS AND MAKE THEMS BIG AND STRONK  SO THEI CAN  LEEVE ZOO AND BE FREE PLEAS  THIS TOOKS ME MANY HOUR TO RITE BECUS I HAVES THE BIG KLAWS SO PLESE GIVE ME YUOR SMELLY KOOKIS EVEN YUST ONE KOOKIE  IS OK I PROMIS IM IS THE GOODEST GIRL AND THA BABIS TOO WE WIL NOT EET YUO PROMIS WE JUST WANTS TO TRY ONE KOOKIES,
Toy Shipment,Noreply@HybridSensations.com,Shipment Update,08-Oct,"Hello,
This message is to inform you that your Gaia, 16 inch, silicone  has been shipped and you may find the tracking information through your selected shipping agent. Thank you again for your purchase and use code PLEASURE20 for a 20% discount for your next purchase.

Hybrid Sensations
5550651, E420 Rd W, Austin, Texas",
HOT GRANDPAS IN YOUR AREA!!!,subscription@grandpasearcher.lib,Please confirm your subscription to our service with the following link -> ...,06-Oct,"<div style=""max-width:600px;margin:0 auto;background-color:#1a1a1a;border:1px solid #4a0a0a;font-family:Georgia,'Times New Roman';text-align: center;color:#d4d4d4;""> <!-- Header --> <div style=""background: linear-gradient(to bottom, #8b0000 0, #000 100%);padding: 40px 20px;text-align: center;border-bottom: 2px solid #d4af37;""> <h1 style=""margin:0;font-size:36px;color:#d4af37;text-shadow:2px 2px 5px #000;letter-spacing:3px;font-family:Georgia,'Times New Roman';"">ELDER RUT</h1> <p style=""font-style:italic;margin-top:10px;color:khaki;font-size:16px;"">For the generation that's experienced what true musk smells like.</p> </div> <!-- Main Content --> <div style=""padding:30px;line-height:1.6;text-align:center;""> <div style=""font-size:22px;font-weight:700;color:#ff4500;margin-bottom:20px;text-transform:uppercase;letter-spacing:1px;"">YOU HAVE A HUNGRY LUST IN YOUR EYES.</div> <p style=""font-size:16px;margin-bottom:30px;text-align:justify;""> We see it. The craving for the veteransâ€”the ones with grey fur and battle scars. The ones who have bred in kings's and kingdoms' alike and lefts his mark. Your request for daily injections of vintage predator lusts has been received. Processing now...<br><br> </p> <!-- Preview List --> <div style=""background-color:#262626;border-radius:8px;padding:20px;margin-bottom:25px;border-left:4px solid #d4af3a;text-align:left;""> <div style=""display:flex;align-items:center;margin-bottom:15px;""> <button style=""background-color:#8b0000;color:#fff;padding:2px 10px;border-radius:4px;font-size:11px;font-weight:700;margin-right:12px;border:none;cursor:default;"">PREVIEW</button> <span style=""font-size:14px;""> <strong style=""color:#b4fff6;"">The Silver-Muzzed:</strong> A 550lb Grey Wolf with 3 seasons experience. Always knots. Unleashed 4K footage of his roughest breeding... </span> </div> <div style=""display:flex;align-items:center;margin-bottom:15px;""> <button style=""background-color:#8b0000;color:#fff;padding:2px 10px;border-radius:4px;font-size:11px;font-weight:700;margin-right:12px;border:none;cursor:default;"">PREVIEW</button> <span style=""font-size:14px;""> <strong style=""color:#b834ff;"">Cinderbred the Ancient:</strong> Black Drake with 400+ years. Hoards gold in his safe and gallons of dragon cum in your hole. Has great tips... </span> </div> <div style=""display:flex;align-items:center;margin-bottom:15px;""> <button style=""background-color:#8b0000;color:#fff;padding:2px 10px;border-radius:4px;font-size:11px;font-weight:700;margin-right:12px;border:none;cursor:default;"">PREVIEW</button> <span style=""font-size:14px;""> <strong style=""color:#ff4500;"">Ruby-Ridge Felk:</strong> A musk-soaked 60-year-old Felk who still hunts for easy holes. Full aftercare and audio included... </span> </div> </div> <!-- CTA Button --> <div style=""padding:20px 0;""> <p style=""color:#d4af37;font-weight:700;"">Please confirm you are ready to submit.</p> <a href=""#"" style=""background-color:#8b0000 linear-gradient(180 deg,#ff0000 50%,#000 10%);color:#fff;padding:18px 40px;text-decoration:none;font-size:24px;font-weight:700;border-radius:8px;border:2px solid #d4afd7;box-shadow:0 0 20px #ff0000;display:inline-block;text-transform:uppercase;letter-spacing:2px;"">UNLEASH THE ALPHAs NOW</a> <p style=""margin-bottom:15px;font-size:15px;color:#d4af37;"">Let the rut begin...</p> </div> </div> <footer style=""padding:25px;font-size:12px;text-align:center;color:#666;border-top:1px solid #333;""> <p style=""margin:0 0 5px 0;"">&copy; 2024 ELDER RUT COLLECTIVE. We respect your primal hunger.</p> <p style=""margin:0 0 5px 0;font-style:italic;"">Know your prey. Rut Frequency: Daily @ Midnight.</p> <p style=""margin:0;"">You received this because you crave the fine vintages of the beast kingdom. If you wish to submit and unsubscribe from our nightly hunts,<a href=""#"" style=""color:#d4af37;text-decoration:underline;"">click here</a>. No refunds on the rut.</p> </footer> </div>",
BRAND NEW OFFER!!!,goon.empireNoReply@gmail.com,A Special Deal!!!,,"<style> .body{background: #a80f30;} .intro{font-size: 3.5rem; text-align: center; font-family: 'Comic Sans MS'; padding-top: 2rem; padding-bottom: 0.2rem; color:rgba(0,0,0,0.7)} .darkenintro{padding-bottom: 1.2rem; background-image: linear-gradient(to bottom, rgba(0,0,0, 0), rgba(0, 0, 0, 0.4)); padding-top: 1.1rem;} .darken{padding: 0; padding-bottom: 2.5rem; background-color: rgba(0,0,0,0.4);} .bodytext{font-size: 2rem; text-align: center; font-family: 'Comic Sans MS'; color: rgba(255, 26, 26, 0.7); padding-bottom: 1.5rem; margin-bottom: 0rem; margin-top: 0rem} .buttonwarning{font-size: 2.2rem; text-align: center; font-family: 'Comic Sans MS'; color: rgba(255, 213, 26, 0.7); margin-top: 0rem;} .buttoncontainer{display: flex; justify-content: center;} .button{background-image: linear-gradient(to bottom, #f5285b,#bd1d45); border-radius: 0.8rem; border-style: solid; border-width: 0.3rem; font-size: 5rem;} .button:hover{background-image: linear-gradient(to bottom, #a328f5,#1d25bd)} </style> </head> <body> <div class=""body""> <h1 class=""intro"">Stand ready for our worm's arrival!!!</h1> <div class=""darkenintro""></div> <div class=""darken""> <p class=""bodytext""> You were given time and leeway to try out our new toy! Yet you were found unprepared for this email in your inbox! Save up to 30% off on our new hyperrealistic worm dildo, 10 inches in length and 5 inches in girth, you are going to enjoy this!.</p> <p class=""buttonwarning"">>>>Click the Button Below to know more!!!<<<</p> <div class=""buttoncontainer""> <button class=""button"">CHECK OUT!!!</button> </div> </div> </div> </body>",       https://f2.toyhou.se/file/f2-toyhou-se/images/120529854_VAUfxqLbtKbvQgX.png
Support Team,support@example.com,Your Ticket #9921 is Resolved,04-Oct,"<h3>Ticket Resolved</h3><p>Hello,</p><p>We have successfully resolved your issue regarding the API access. Let us know if you need anything else.</p><br><a href='#' style='padding: 8px 16px; background: #0b57d0; color: white; text-decoration: none; border-radius: 5px; font-weight: bold;'>View Ticket</a>",
HR Department,hr@company.com,Q4 Company All-Hands Meeting,02-Oct,"<div style='border-left: 4px solid #0b57d0; padding-left: 15px;'><p>Hi Team,</p><p>Just a reminder that our Q4 All-Hands meeting is scheduled for tomorrow at 10 AM PST. We will be discussing:</p><ul><li>Q3 Performance</li><li>Upcoming Holiday Schedule</li><li>New Benefits Package</li></ul><p>See you there!</p></div>",
CSS Weekly,hello@frontend.dev,Top 5 CSS Tricks for this month,30-Sep,<h2>CSS Weekly Digest</h2><p>Here are the top web design tricks you need to know:</p><ol><li>Using <b>:has()</b> for parent selection</li><li>Advanced CSS Grid layouts</li><li>Container queries in production</li></ol><p>Happy coding!</p>,
Security Alert,security@bank.com,New login from unknown device,28-Sep,"<h2 style='color: #d93025;'>Security Alert</h2><p>We noticed a new login to your account from a device in Portland, OR.</p><p>If this was you, you can ignore this message. If not, please click below to secure your account immediately.</p><br><button style='background-color: #d93025; color: white; border: none; padding: 10px 20px; border-radius: 4px; cursor: pointer;'>Secure Account</button>",
Design Assets,assets@studio.design,Here is that image you requested,26-Sep,"<p>Hey,</p><p>Here is the placeholder asset you asked for to test the email client's image rendering capabilities.</p><br><img src='https://picsum.photos/seed/design/400/200' alt='Test Graphic' style='border-radius:8px; border:1px solid #ddd; max-width:100%;'>",
